trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
21,False,"{'a': 0.5, 'e': 0.34056162628811465}",30,13,16.328582523292884,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.3235335449737089}",20,15,-4.078436059164061,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.30735686772502346}",20,0,-31.831852787522564,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.2919890243387723}",25,10,-6.177666386479521,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.27738957312183365}",30,16,12.038639660897417,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.263520094465742}",20,12,13.383811081595695,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.25034408974245487}",20,13,10.414289633733409,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.2378268852553321}",20,10,-33.85413204377691,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.2259355409925655}",30,10,3.7799188582356185,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.2146387639429372}",20,9,1.2168983734423604,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.20390682574579033}",20,10,-8.11638241929042,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.1937114844585008}",20,0,31.5105244364854,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.18402591023557577}",20,11,4.224228384033682,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.17482461472379698}",20,7,-24.449564491956455,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.16608338398760714}",20,11,16.11526567029465,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.15777921478822676}",20,15,0.4782022970622122,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.14989025404881542}",20,10,14.32856206387634,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.14239574134637464}",35,2,44.7213225182042,"{0: 32, 1: 1, 2: 0, 3: 0, 4: 0}",1
